,team1,team2,city,toss_winner,toss_decision,winner,prediction
0,MI,CSK,Mumbai,CSK,field,CSK,MI
1,DD,KXIP,Mohali,KXIP,field,KXIP,KXIP
2,KKR,RCB,Kolkata,KKR,field,KKR,KKR
3,SRH,RR,Hyderabad,SRH,field,SRH,SRH
4,CSK,KKR,Chennai,CSK,field,CSK,CSK
5,RR,DD,Jaipur,DD,field,RR,RR
6,SRH,MI,Hyderabad,SRH,field,SRH,MI
7,RCB,KXIP,Bengaluru,RCB,field,RCB,RCB
8,MI,DD,Mumbai,DD,field,DD,MI
9,KKR,SRH,Kolkata,SRH,field,SRH,KKR
10,RCB,RR,Bengaluru,RCB,field,RR,RCB
11,KXIP,CSK,Mohali,CSK,field,KXIP,KXIP
12,KKR,DD,Kolkata,DD,field,KKR,KKR
13,MI,RCB,Mumbai,RCB,field,MI,MI
14,RR,KKR,Jaipur,KKR,field,KKR,KKR
15,KXIP,SRH,Mohali,KXIP,bat,KXIP,SRH
16,CSK,RR,Chennai,RR,field,CSK,CSK
17,KKR,KXIP,Kolkata,KXIP,field,KXIP,KKR
18,DD,RCB,Delhi,RCB,field,RCB,RCB
19,SRH,CSK,Hyderabad,SRH,field,CSK,SRH
20,RR,MI,Jaipur,MI,bat,RR,MI
21,KXIP,DD,Delhi,DD,field,KXIP,DD
22,MI,SRH,Mumbai,MI,field,SRH,MI
23,RCB,CSK,Bengaluru,CSK,field,CSK,CSK
24,SRH,KXIP,Hyderabad,KXIP,field,SRH,SRH
25,DD,KKR,Delhi,KKR,field,DD,KKR
26,CSK,MI,Chennai,MI,field,MI,MI
27,RR,SRH,Jaipur,SRH,bat,SRH,SRH
28,RCB,KKR,Bengaluru,KKR,field,KKR,KKR
29,CSK,DD,Chennai,DD,field,CSK,CSK
30,RCB,MI,Bengaluru,MI,field,RCB,MI
31,DD,RR,Delhi,RR,field,DD,RR
32,KKR,CSK,Kolkata,KKR,field,KKR,KKR
33,KXIP,MI,Indore,MI,field,MI,MI
34,CSK,RCB,Chennai,CSK,field,CSK,CSK
35,SRH,DD,Hyderabad,DD,bat,SRH,SRH
36,MI,KKR,Mumbai,KKR,field,MI,MI
37,KXIP,RR,Indore,KXIP,field,KXIP,KXIP
38,SRH,RCB,Hyderabad,RCB,field,SRH,SRH
39,RR,KXIP,Jaipur,RR,bat,RR,CSK
40,KKR,MI,Kolkata,KKR,field,MI,MI
41,DD,SRH,Delhi,DD,bat,SRH,DD
42,RR,CSK,Jaipur,CSK,bat,RR,CSK
43,KXIP,KKR,Indore,KXIP,field,KKR,KKR
44,RCB,DD,Bengaluru,RCB,field,RCB,RCB
45,CSK,SRH,Chennai,CSK,field,CSK,CSK
46,MI,RR,Mumbai,RR,field,RR,MI
47,KXIP,RCB,Indore,RCB,field,RCB,KXIP
48,KKR,RR,Kolkata,KKR,field,KKR,KKR
49,MI,KXIP,Mumbai,KXIP,field,MI,MI
50,RCB,SRH,Bengaluru,SRH,field,RCB,RCB
51,DD,CSK,Delhi,CSK,field,DD,CSK
52,RR,RCB,Jaipur,RR,bat,RR,CSK
53,SRH,KKR,Hyderabad,SRH,bat,KKR,KKR
54,DD,MI,Delhi,DD,bat,DD,MI
55,CSK,KXIP,Chennai,CSK,field,CSK,CSK
