team1,team2,city,toss_winner,toss_decision,winner
MI,CSK,Mumbai,CSK,field,CSK
DD,KXIP,Mohali,KXIP,field,KXIP
KKR,RCB,Kolkata,KKR,field,KKR
SRH,RR,Hyderabad,SRH,field,SRH
CSK,KKR,Chennai,CSK,field,CSK
RR,DD,Jaipur,DD,field,RR
SRH,MI,Hyderabad,SRH,field,SRH
RCB,KXIP,Bengaluru,RCB,field,RCB
MI,DD,Mumbai,DD,field,DD
KKR,SRH,Kolkata,SRH,field,SRH
RCB,RR,Bengaluru,RCB,field,RR
KXIP,CSK,Mohali,CSK,field,KXIP
KKR,DD,Kolkata,DD,field,KKR
MI,RCB,Mumbai,RCB,field,MI
RR,KKR,Jaipur,KKR,field,KKR
KXIP,SRH,Mohali,KXIP,bat,KXIP
CSK,RR,Chennai,RR,field,CSK
KKR,KXIP,Kolkata,KXIP,field,KXIP
DD,RCB,Delhi,RCB,field,RCB
SRH,CSK,Hyderabad,SRH,field,CSK
RR,MI,Jaipur,MI,bat,RR
KXIP,DD,Delhi,DD,field,KXIP
MI,SRH,Mumbai,MI,field,SRH
RCB,CSK,Bengaluru,CSK,field,CSK
SRH,KXIP,Hyderabad,KXIP,field,SRH
DD,KKR,Delhi,KKR,field,DD
CSK,MI,Chennai,MI,field,MI
RR,SRH,Jaipur,SRH,bat,SRH
RCB,KKR,Bengaluru,KKR,field,KKR
CSK,DD,Chennai,DD,field,CSK
RCB,MI,Bengaluru,MI,field,RCB
DD,RR,Delhi,RR,field,DD
KKR,CSK,Kolkata,KKR,field,KKR
KXIP,MI,Indore,MI,field,MI
CSK,RCB,Chennai,CSK,field,CSK
SRH,DD,Hyderabad,DD,bat,SRH
MI,KKR,Mumbai,KKR,field,MI
KXIP,RR,Indore,KXIP,field,KXIP
SRH,RCB,Hyderabad,RCB,field,SRH
RR,KXIP,Jaipur,RR,bat,RR
KKR,MI,Kolkata,KKR,field,MI
DD,SRH,Delhi,DD,bat,SRH
RR,CSK,Jaipur,CSK,bat,RR
KXIP,KKR,Indore,KXIP,field,KKR
RCB,DD,Bengaluru,RCB,field,RCB
CSK,SRH,Chennai,CSK,field,CSK
MI,RR,Mumbai,RR,field,RR
KXIP,RCB,Indore,RCB,field,RCB
KKR,RR,Kolkata,KKR,field,KKR
MI,KXIP,Mumbai,KXIP,field,MI
RCB,SRH,Bengaluru,SRH,field,RCB
DD,CSK,Delhi,CSK,field,DD
RR,RCB,Jaipur,RR,bat,RR
SRH,KKR,Hyderabad,SRH,bat,KKR
DD,MI,Delhi,DD,bat,DD
CSK,KXIP,Chennai,CSK,field,CSK
